id,satisfaction,satisfaction score,voice of customer
11,neutral or dissatisfied,4,NIL
12,neutral or dissatisfied,3,NIL
20,neutral or dissatisfied,3,NIL
22,neutral or dissatisfied,4,NIL
55,neutral or dissatisfied,3,NIL
69,neutral or dissatisfied,4,NIL
72,neutral or dissatisfied,3,"The emotional toll of the experience was overwhelming, and I felt the airline had failed to meet my expectations."
82,neutral or dissatisfied,4,NIL
85,neutral or dissatisfied,3,NIL
89,neutral or dissatisfied,3,NIL
93,neutral or dissatisfied,3,The extended wait for flight arrival was highly inconvenient for me.
94,neutral or dissatisfied,3,NIL
97,neutral or dissatisfied,3,NIL
109,neutral or dissatisfied,4,The airline did not provide any updates during the prolonged delay.
116,neutral or dissatisfied,3,NIL
119,neutral or dissatisfied,3,NIL
120,neutral or dissatisfied,3,NIL
147,neutral or dissatisfied,4,The airline did not provide any compensation for the delayed flight.
149,neutral or dissatisfied,3,NIL
157,neutral or dissatisfied,3,NIL
158,neutral or dissatisfied,4,NIL
177,neutral or dissatisfied,4,NIL
185,neutral or dissatisfied,3,NIL
200,neutral or dissatisfied,3,NIL
210,neutral or dissatisfied,4,NIL
222,neutral or dissatisfied,3,NIL
236,neutral or dissatisfied,3,NIL
243,neutral or dissatisfied,4,NIL
244,neutral or dissatisfied,4,The airline charged excessive fees for baggage.
251,neutral or dissatisfied,4,"I had an important occasion to celebrate, but the delay in arrival dampened the mood."
252,neutral or dissatisfied,3,NIL
263,neutral or dissatisfied,4,I encountered a lack of designated areas or assistance for oversized or special baggage.
272,neutral or dissatisfied,3,The flight attendants did not assist with finding alternative flights for missed connections.
273,neutral or dissatisfied,3,NIL
276,neutral or dissatisfied,4,NIL
285,neutral or dissatisfied,4,NIL
290,neutral or dissatisfied,4,NIL
294,neutral or dissatisfied,3,NIL
304,neutral or dissatisfied,3,NIL
318,neutral or dissatisfied,3,NIL
319,neutral or dissatisfied,4,NIL
321,neutral or dissatisfied,3,NIL
322,neutral or dissatisfied,3,NIL
327,neutral or dissatisfied,4,NIL
329,neutral or dissatisfied,4,"I faced challenges understanding the airline's complex travel insurance policy, resulting in confusion and difficulties in obtaining coverage."
334,neutral or dissatisfied,3,NIL
335,neutral or dissatisfied,3,NIL
344,neutral or dissatisfied,3,NIL
345,neutral or dissatisfied,3,NIL
351,neutral or dissatisfied,3,NIL
407,neutral or dissatisfied,3,NIL
410,neutral or dissatisfied,3,NIL
412,neutral or dissatisfied,4,NIL
413,neutral or dissatisfied,4,NIL
420,neutral or dissatisfied,3,The arrival delay reflects the airline's lack of respect for its passengers.
427,neutral or dissatisfied,4,NIL
430,neutral or dissatisfied,4,The flight delay made me miss a critical appointment. The airline's fault.
431,neutral or dissatisfied,4,NIL
521,neutral or dissatisfied,4,NIL
563,neutral or dissatisfied,4,NIL
584,neutral or dissatisfied,3,NIL
617,neutral or dissatisfied,3,"The flight attendants seemed overworked and exhausted, impacting their service quality."
623,neutral or dissatisfied,4,NIL
657,neutral or dissatisfied,3,NIL
681,neutral or dissatisfied,3,NIL
682,neutral or dissatisfied,3,NIL
684,neutral or dissatisfied,3,NIL
698,neutral or dissatisfied,4,NIL
716,neutral or dissatisfied,3,"I had a well-planned itinerary, but the delay in departure threw everything off track."
719,neutral or dissatisfied,4,NIL
724,neutral or dissatisfied,3,NIL
731,neutral or dissatisfied,3,NIL
732,neutral or dissatisfied,4,NIL
739,neutral or dissatisfied,3,NIL
742,neutral or dissatisfied,3,NIL
746,neutral or dissatisfied,4,NIL
770,neutral or dissatisfied,4,"The airline's ticket change process was convoluted and time-consuming, causing unnecessary stress and inconvenience."
773,neutral or dissatisfied,3,NIL
778,neutral or dissatisfied,3,NIL
804,neutral or dissatisfied,4,NIL
809,neutral or dissatisfied,3,"The flight was noisy, and it was difficult to have a conversation or rest during the journey."
831,neutral or dissatisfied,3,"The flight was excessively noisy due to mechanical issues, causing discomfort throughout the journey."
832,neutral or dissatisfied,3,NIL
835,neutral or dissatisfied,3,NIL
840,neutral or dissatisfied,3,NIL
852,neutral or dissatisfied,4,NIL
856,neutral or dissatisfied,4,NIL
868,neutral or dissatisfied,3,NIL
871,neutral or dissatisfied,3,NIL
872,neutral or dissatisfied,3,NIL
881,neutral or dissatisfied,4,"The legroom was insufficient, and it made the journey cramped and uncomfortable."
886,neutral or dissatisfied,3,I was served in-flight meals of poor quality that left me unsatisfied and hungry.
890,neutral or dissatisfied,3,NIL
893,neutral or dissatisfied,3,NIL
896,neutral or dissatisfied,4,I felt a profound sense of disappointment and disillusionment with the airline's level of service.
900,neutral or dissatisfied,3,NIL
902,neutral or dissatisfied,4,NIL
904,neutral or dissatisfied,4,NIL
905,neutral or dissatisfied,4,NIL
910,neutral or dissatisfied,4,NIL
914,neutral or dissatisfied,3,NIL
919,neutral or dissatisfied,4,NIL
931,neutral or dissatisfied,4,NIL
932,neutral or dissatisfied,3,NIL
933,neutral or dissatisfied,4,NIL
938,neutral or dissatisfied,3,NIL
940,neutral or dissatisfied,3,NIL
946,neutral or dissatisfied,3,NIL
947,neutral or dissatisfied,4,NIL
948,neutral or dissatisfied,0,The air crew was rude to me and had poor communication skills.
950,neutral or dissatisfied,4,The airline failed to accommodate my dietary restrictions despite prior notification.
955,neutral or dissatisfied,3,The airline did not provide any assistance during the extended delay.
962,neutral or dissatisfied,3,NIL
964,neutral or dissatisfied,4,NIL
975,neutral or dissatisfied,4,NIL
976,neutral or dissatisfied,3,NIL
977,neutral or dissatisfied,4,NIL
985,neutral or dissatisfied,3,NIL
1005,neutral or dissatisfied,3,The delayed arrival is an inconvenience I should never have to endure. I demand justice!
1016,neutral or dissatisfied,3,NIL
1020,neutral or dissatisfied,4,"The airline's customer service email responses were slow and unhelpful, providing generic and uninformative replies."
1025,neutral or dissatisfied,3,NIL
1032,neutral or dissatisfied,4,The airline's constant delays have left me feeling cheated and dissatisfied.
1037,neutral or dissatisfied,4,NIL
1040,neutral or dissatisfied,3,NIL
1065,neutral or dissatisfied,4,NIL
1068,neutral or dissatisfied,3,NIL
1080,neutral or dissatisfied,3,I'm deeply dissatisfied with the airline's inability to manage timely departures.
1101,neutral or dissatisfied,4,NIL
1106,neutral or dissatisfied,4,NIL
1110,neutral or dissatisfied,3,NIL
1126,neutral or dissatisfied,3,NIL
1133,neutral or dissatisfied,4,NIL
1135,neutral or dissatisfied,4,NIL
1138,neutral or dissatisfied,3,NIL
1152,neutral or dissatisfied,4,NIL
1158,neutral or dissatisfied,4,This airline's delays have me fuming! They are completely incompetent and deserve my anger!
1159,neutral or dissatisfied,4,The airline did not provide adequate assistance during a flight disruption.
1162,neutral or dissatisfied,4,NIL
1179,neutral or dissatisfied,4,NIL
1200,neutral or dissatisfied,3,NIL
1208,neutral or dissatisfied,3,NIL
1211,neutral or dissatisfied,3,NIL
1216,neutral or dissatisfied,4,NIL
1222,neutral or dissatisfied,4,NIL
1230,neutral or dissatisfied,3,NIL
1235,neutral or dissatisfied,4,NIL
1238,neutral or dissatisfied,4,The continuous delays throughout my journey made me question the airline's reliability.
1247,neutral or dissatisfied,3,NIL
1251,neutral or dissatisfied,4,"The airline failed to enforce mask-wearing protocols consistently, compromising passenger safety."
1255,neutral or dissatisfied,4,NIL
1257,neutral or dissatisfied,4,NIL
1264,neutral or dissatisfied,4,NIL
1272,neutral or dissatisfied,3,NIL
1282,neutral or dissatisfied,3,NIL
1285,neutral or dissatisfied,4,NIL
1287,neutral or dissatisfied,3,NIL
1341,neutral or dissatisfied,3,NIL
1354,neutral or dissatisfied,4,NIL
1360,neutral or dissatisfied,4,NIL
1369,neutral or dissatisfied,4,"I expected better from the airline, considering the delay in flight departure."
1380,neutral or dissatisfied,3,The baggage claim area lacked sufficient staff to handle the number of passengers.
1383,neutral or dissatisfied,3,The flight attendants seemed disinterested and lacked basic courtesy.
1385,neutral or dissatisfied,3,NIL
1391,neutral or dissatisfied,4,NIL
1401,neutral or dissatisfied,4,NIL
1402,neutral or dissatisfied,4,NIL
1404,neutral or dissatisfied,3,NIL
1410,neutral or dissatisfied,3,NIL
1415,neutral or dissatisfied,3,NIL
1426,neutral or dissatisfied,4,NIL
1433,neutral or dissatisfied,4,NIL
1437,neutral or dissatisfied,3,NIL
1452,neutral or dissatisfied,3,NIL
1456,neutral or dissatisfied,4,NIL
1459,neutral or dissatisfied,3,NIL
1461,neutral or dissatisfied,4,NIL
1468,neutral or dissatisfied,4,NIL
1473,neutral or dissatisfied,4,NIL
1474,neutral or dissatisfied,3,NIL
1482,neutral or dissatisfied,3,NIL
1496,neutral or dissatisfied,3,NIL
1506,neutral or dissatisfied,3,"The airline did not provide clear instructions for baggage claim, causing confusion and delays."
1526,neutral or dissatisfied,4,NIL
1534,neutral or dissatisfied,3,NIL
1538,neutral or dissatisfied,4,This delayed departure is an insult to my time and patience. I deserve better!
1542,neutral or dissatisfied,3,NIL
1543,neutral or dissatisfied,3,NIL
1549,neutral or dissatisfied,3,NIL
1555,neutral or dissatisfied,3,NIL
1559,neutral or dissatisfied,3,I felt the airline should have offered complimentary access to calming music or meditation apps to help passengers relax during the turbulent flight.
1581,neutral or dissatisfied,3,NIL
1586,neutral or dissatisfied,4,NIL
1597,neutral or dissatisfied,3,NIL
1598,neutral or dissatisfied,4,NIL
1602,neutral or dissatisfied,3,NIL
1604,neutral or dissatisfied,4,NIL
1606,neutral or dissatisfied,4,NIL
1607,neutral or dissatisfied,3,The baggage policy of the airline was confusing and resulted in unexpected fees.
1619,neutral or dissatisfied,3,NIL
1628,neutral or dissatisfied,4,NIL
1629,neutral or dissatisfied,4,NIL
1651,neutral or dissatisfied,3,NIL
1653,neutral or dissatisfied,4,"Limited space for carry-on luggage, causing passengers to struggle with storage and accessibility."
1664,neutral or dissatisfied,4,The delayed flight departure resulted in me missing important connections at my destination.
1669,neutral or dissatisfied,3,NIL
1676,neutral or dissatisfied,3,NIL
1677,neutral or dissatisfied,3,NIL
1682,neutral or dissatisfied,3,NIL
1722,neutral or dissatisfied,4,NIL
1741,neutral or dissatisfied,4,NIL
1760,neutral or dissatisfied,3,NIL
1780,neutral or dissatisfied,4,I faced difficulties and confusion when trying to navigate the airport.
1789,neutral or dissatisfied,3,NIL
1809,neutral or dissatisfied,4,NIL
1818,neutral or dissatisfied,4,NIL
1820,neutral or dissatisfied,4,NIL
1821,neutral or dissatisfied,3,NIL
1822,neutral or dissatisfied,4,NIL
1830,neutral or dissatisfied,4,NIL
1835,neutral or dissatisfied,3,I felt a surge of anger and helplessness as the flight departure was repeatedly postponed without explanation.
1836,neutral or dissatisfied,4,NIL
1841,neutral or dissatisfied,4,NIL
1884,neutral or dissatisfied,3,NIL
1893,neutral or dissatisfied,4,NIL
1933,neutral or dissatisfied,3,NIL
1945,neutral or dissatisfied,3,NIL
1949,neutral or dissatisfied,3,NIL
1956,neutral or dissatisfied,3,"I had important business meetings, but the flight delay made me miss them all."
1965,neutral or dissatisfied,3,NIL
1972,neutral or dissatisfied,4,NIL
1991,neutral or dissatisfied,4,NIL
2005,neutral or dissatisfied,3,NIL
2008,neutral or dissatisfied,4,NIL
2011,neutral or dissatisfied,4,NIL
2025,neutral or dissatisfied,3,NIL
2061,neutral or dissatisfied,3,NIL
2063,neutral or dissatisfied,4,NIL
2071,neutral or dissatisfied,3,NIL
2074,neutral or dissatisfied,3,I was dissatisfied with the lengthy wait for flight departure.
2075,neutral or dissatisfied,4,NIL
2085,neutral or dissatisfied,4,NIL
2092,neutral or dissatisfied,4,NIL
2102,neutral or dissatisfied,3,NIL
2103,neutral or dissatisfied,4,NIL
2105,neutral or dissatisfied,4,NIL
2110,neutral or dissatisfied,3,NIL
2127,neutral or dissatisfied,3,NIL
2132,neutral or dissatisfied,3,NIL
2133,neutral or dissatisfied,3,NIL
2173,neutral or dissatisfied,3,The airline did not provide clear instructions during the emergency evacuation drill.
2176,neutral or dissatisfied,3,NIL
2178,neutral or dissatisfied,4,NIL
2180,neutral or dissatisfied,3,NIL
2181,neutral or dissatisfied,3,NIL
2182,neutral or dissatisfied,4,NIL
2188,neutral or dissatisfied,4,NIL
2191,neutral or dissatisfied,4,NIL
2195,neutral or dissatisfied,3,The prolonged delay in flight arrival left me frustrated and dissatisfied with the airline.
2198,neutral or dissatisfied,4,NIL
2225,neutral or dissatisfied,3,NIL
2247,neutral or dissatisfied,4,I was disappointed with the significant delay in our flight departure.
2251,neutral or dissatisfied,4,NIL
2282,neutral or dissatisfied,3,NIL
2288,neutral or dissatisfied,3,NIL
2290,neutral or dissatisfied,3,"There were no power outlets on the aircraft, which made it impossible to charge my devices."
2292,neutral or dissatisfied,3,"Departure was postponed, inconveniencing passengers and causing dissatisfaction."
2293,neutral or dissatisfied,3,NIL
2305,neutral or dissatisfied,4,NIL
2308,neutral or dissatisfied,3,I found unclean or sticky surfaces on the seat armrests.
2313,neutral or dissatisfied,3,NIL
2316,neutral or dissatisfied,3,The flight attendants did not address safety concerns appropriately.
2321,neutral or dissatisfied,4,NIL
2332,neutral or dissatisfied,4,NIL
2335,neutral or dissatisfied,3,NIL
2336,neutral or dissatisfied,4,The flight attendant was unfriendly and displayed a lack of professionalism.
2344,neutral or dissatisfied,4,NIL
2346,neutral or dissatisfied,3,NIL
2360,neutral or dissatisfied,4,NIL
2397,neutral or dissatisfied,3,NIL
2400,neutral or dissatisfied,3,NIL
2402,neutral or dissatisfied,4,NIL
2417,neutral or dissatisfied,3,NIL
2438,neutral or dissatisfied,3,NIL
2449,neutral or dissatisfied,4,NIL
2452,neutral or dissatisfied,3,NIL
2460,neutral or dissatisfied,3,NIL
2462,neutral or dissatisfied,3,NIL
2465,neutral or dissatisfied,4,NIL
2467,neutral or dissatisfied,4,NIL
2468,neutral or dissatisfied,4,NIL
2469,neutral or dissatisfied,3,NIL
2477,neutral or dissatisfied,3,NIL
2480,neutral or dissatisfied,3,NIL
2491,neutral or dissatisfied,4,NIL
2493,neutral or dissatisfied,3,NIL
2497,neutral or dissatisfied,3,NIL
2498,neutral or dissatisfied,3,NIL
2503,neutral or dissatisfied,3,NIL
2509,neutral or dissatisfied,4,NIL
2552,neutral or dissatisfied,4,NIL
2561,neutral or dissatisfied,4,NIL
2565,neutral or dissatisfied,3,NIL
2573,neutral or dissatisfied,4,"The airline didn't have proper facilities for families traveling with young children, making the journey more challenging."
2578,neutral or dissatisfied,4,I felt cramped and uncomfortable throughout the flight due to limited legroom.
2580,neutral or dissatisfied,3,NIL
2582,neutral or dissatisfied,4,NIL
2586,neutral or dissatisfied,3,NIL
2592,neutral or dissatisfied,3,NIL
2598,neutral or dissatisfied,4,NIL
2599,neutral or dissatisfied,3,NIL
2611,neutral or dissatisfied,4,NIL
2614,neutral or dissatisfied,4,NIL
2626,neutral or dissatisfied,3,NIL
2627,neutral or dissatisfied,3,NIL
2633,neutral or dissatisfied,3,NIL
2667,neutral or dissatisfied,3,NIL
2668,neutral or dissatisfied,3,NIL
2670,neutral or dissatisfied,3,NIL
2701,neutral or dissatisfied,4,NIL
2706,neutral or dissatisfied,4,The airline did not properly maintain their aircraft.
2707,neutral or dissatisfied,3,NIL
2712,neutral or dissatisfied,3,NIL
2721,neutral or dissatisfied,3,NIL
2755,neutral or dissatisfied,3,NIL
2758,neutral or dissatisfied,3,NIL
2778,neutral or dissatisfied,3,NIL
2781,neutral or dissatisfied,3,NIL
2784,neutral or dissatisfied,3,"The flight was continuously plagued by turbulence, making it an uncomfortable experience."
2792,neutral or dissatisfied,3,NIL
2803,neutral or dissatisfied,3,NIL
2808,neutral or dissatisfied,3,NIL
2812,neutral or dissatisfied,3,NIL
2813,neutral or dissatisfied,3,NIL
2817,neutral or dissatisfied,4,NIL
2819,neutral or dissatisfied,3,NIL
2839,neutral or dissatisfied,4,NIL
2841,neutral or dissatisfied,3,NIL
2855,neutral or dissatisfied,4,NIL
2858,neutral or dissatisfied,4,NIL
2881,neutral or dissatisfied,4,NIL
2883,neutral or dissatisfied,3,NIL
2887,neutral or dissatisfied,3,NIL
2911,neutral or dissatisfied,4,NIL
2914,neutral or dissatisfied,3,NIL
2929,neutral or dissatisfied,4,NIL
2935,neutral or dissatisfied,4,NIL
2951,neutral or dissatisfied,3,NIL
