,topic,voice of customer,id,satisfaction,satisfaction score
0,7,"The emotional toll of the experience was overwhelming, and I felt the airline had failed to meet my expectations.",72,neutral or dissatisfied,3
1,-1,The extended wait for flight arrival was highly inconvenient for me.,93,neutral or dissatisfied,3
2,18,The airline did not provide any updates during the prolonged delay.,109,neutral or dissatisfied,4
3,26,The airline did not provide any compensation for the delayed flight.,147,neutral or dissatisfied,4
4,28,The airline charged excessive fees for baggage.,244,neutral or dissatisfied,4
5,11,"I had an important occasion to celebrate, but the delay in arrival dampened the mood.",251,neutral or dissatisfied,4
6,25,I encountered a lack of designated areas or assistance for oversized or special baggage.,263,neutral or dissatisfied,4
7,36,The flight attendants did not assist with finding alternative flights for missed connections.,272,neutral or dissatisfied,3
8,38,"I faced challenges understanding the airline's complex travel insurance policy, resulting in confusion and difficulties in obtaining coverage.",329,neutral or dissatisfied,4
9,-1,The arrival delay reflects the airline's lack of respect for its passengers.,420,neutral or dissatisfied,3
10,8,The flight delay made me miss a critical appointment. The airline's fault.,430,neutral or dissatisfied,4
11,-1,"The flight attendants seemed overworked and exhausted, impacting their service quality.",617,neutral or dissatisfied,3
12,8,"I had a well-planned itinerary, but the delay in departure threw everything off track.",716,neutral or dissatisfied,3
13,37,"The airline's ticket change process was convoluted and time-consuming, causing unnecessary stress and inconvenience.",770,neutral or dissatisfied,4
14,41,"The flight was noisy, and it was difficult to have a conversation or rest during the journey.",809,neutral or dissatisfied,3
15,41,"The flight was excessively noisy due to mechanical issues, causing discomfort throughout the journey.",831,neutral or dissatisfied,3
16,4,"The legroom was insufficient, and it made the journey cramped and uncomfortable.",881,neutral or dissatisfied,4
17,0,I was served in-flight meals of poor quality that left me unsatisfied and hungry.,886,neutral or dissatisfied,3
18,7,I felt a profound sense of disappointment and disillusionment with the airline's level of service.,896,neutral or dissatisfied,4
19,19,The air crew was rude to me and had poor communication skills.,948,neutral or dissatisfied,0
20,0,The airline failed to accommodate my dietary restrictions despite prior notification.,950,neutral or dissatisfied,4
21,-1,The airline did not provide any assistance during the extended delay.,955,neutral or dissatisfied,3
22,48,The delayed arrival is an inconvenience I should never have to endure. I demand justice!,1005,neutral or dissatisfied,3
23,20,"The airline's customer service email responses were slow and unhelpful, providing generic and uninformative replies.",1020,neutral or dissatisfied,4
24,1,The airline's constant delays have left me feeling cheated and dissatisfied.,1032,neutral or dissatisfied,4
25,-1,I'm deeply dissatisfied with the airline's inability to manage timely departures.,1080,neutral or dissatisfied,3
26,5,This airline's delays have me fuming! They are completely incompetent and deserve my anger!,1158,neutral or dissatisfied,4
27,-1,The airline did not provide adequate assistance during a flight disruption.,1159,neutral or dissatisfied,4
28,1,The continuous delays throughout my journey made me question the airline's reliability.,1238,neutral or dissatisfied,4
29,-1,"The airline failed to enforce mask-wearing protocols consistently, compromising passenger safety.",1251,neutral or dissatisfied,4
30,57,"I expected better from the airline, considering the delay in flight departure.",1369,neutral or dissatisfied,4
31,63,The baggage claim area lacked sufficient staff to handle the number of passengers.,1380,neutral or dissatisfied,3
32,29,The flight attendants seemed disinterested and lacked basic courtesy.,1383,neutral or dissatisfied,3
33,44,"The airline did not provide clear instructions for baggage claim, causing confusion and delays.",1506,neutral or dissatisfied,3
34,48,This delayed departure is an insult to my time and patience. I deserve better!,1538,neutral or dissatisfied,4
35,22,I felt the airline should have offered complimentary access to calming music or meditation apps to help passengers relax during the turbulent flight.,1559,neutral or dissatisfied,3
36,28,The baggage policy of the airline was confusing and resulted in unexpected fees.,1607,neutral or dissatisfied,3
37,25,"Limited space for carry-on luggage, causing passengers to struggle with storage and accessibility.",1653,neutral or dissatisfied,4
38,49,The delayed flight departure resulted in me missing important connections at my destination.,1664,neutral or dissatisfied,4
39,-1,I faced difficulties and confusion when trying to navigate the airport.,1780,neutral or dissatisfied,4
40,2,I felt a surge of anger and helplessness as the flight departure was repeatedly postponed without explanation.,1835,neutral or dissatisfied,3
41,-1,"I had important business meetings, but the flight delay made me miss them all.",1956,neutral or dissatisfied,3
42,40,I was dissatisfied with the lengthy wait for flight departure.,2074,neutral or dissatisfied,3
43,-1,The airline did not provide clear instructions during the emergency evacuation drill.,2173,neutral or dissatisfied,3
44,-1,The prolonged delay in flight arrival left me frustrated and dissatisfied with the airline.,2195,neutral or dissatisfied,3
45,40,I was disappointed with the significant delay in our flight departure.,2247,neutral or dissatisfied,4
46,46,"There were no power outlets on the aircraft, which made it impossible to charge my devices.",2290,neutral or dissatisfied,3
47,23,"Departure was postponed, inconveniencing passengers and causing dissatisfaction.",2292,neutral or dissatisfied,3
48,15,I found unclean or sticky surfaces on the seat armrests.,2308,neutral or dissatisfied,3
49,14,The flight attendants did not address safety concerns appropriately.,2316,neutral or dissatisfied,3
50,-1,The flight attendant was unfriendly and displayed a lack of professionalism.,2336,neutral or dissatisfied,4
51,34,"The airline didn't have proper facilities for families traveling with young children, making the journey more challenging.",2573,neutral or dissatisfied,4
52,4,I felt cramped and uncomfortable throughout the flight due to limited legroom.,2578,neutral or dissatisfied,4
53,-1,The airline did not properly maintain their aircraft.,2706,neutral or dissatisfied,4
54,10,"The flight was continuously plagued by turbulence, making it an uncomfortable experience.",2784,neutral or dissatisfied,3
55,33,"The frequent flyer program offered limited benefits, leaving me unsatisfied with the rewards.",2978,neutral or dissatisfied,4
56,15,I encountered unclean or unsanitary footrests in the seats.,3046,neutral or dissatisfied,4
57,-1,"I expected better punctuality from the airline, but the departure was repeatedly delayed.",3191,neutral or dissatisfied,3
58,2,"I experienced a whirlwind of emotions during the lengthy wait for flight departure, from frustration to sadness.",3214,neutral or dissatisfied,4
59,2,The lengthy wait for flight arrival left me feeling emotionally exhausted and let down.,3227,neutral or dissatisfied,3
60,23,The flight delay inconvenienced passengers and affected their travel experience.,3284,neutral or dissatisfied,3
61,5,I expect the airline to provide a solution for the departure delay. This is absurd!,3294,neutral or dissatisfied,3
62,29,The flight attendants lacked professionalism.,3298,neutral or dissatisfied,4
63,-1,"I faced challenges understanding the airline's complex infant travel policy, resulting in confusion and difficulties in arranging travel for infants.",3376,neutral or dissatisfied,4
64,6,"The flight had malfunctioning seatback screens, depriving passengers of in-flight entertainment options.",3400,neutral or dissatisfied,3
65,7,"The entire experience was emotionally taxing, and I felt let down by the airline's lack of customer-centricity.",3457,neutral or dissatisfied,3
66,2,The prolonged wait for flight arrival triggered significant emotional turmoil and anxiety.,3543,neutral or dissatisfied,3
67,11,"I was heartbroken by the significant delay in our flight departure, as it ruined my special event.",3559,neutral or dissatisfied,3
68,2,The prolonged wait for flight arrival caused me significant emotional distress and robbed me of enjoyment.,3561,neutral or dissatisfied,4
69,4,Cramped seating arrangement made it impossible to relax or sleep during the flight.,3564,neutral or dissatisfied,3
70,18,"The airline didn't provide updates or explanations for a delayed departure, leaving passengers in the dark.",3702,neutral or dissatisfied,3
71,17,"The baggage handling staff mishandled my sports equipment, causing irreparable damage.",3750,neutral or dissatisfied,2
72,2,"I felt a mix of anger and sadness during the long wait for flight departure, which took an emotional toll on me.",3755,neutral or dissatisfied,4
73,62,The airline did not provide sufficient support for passengers with medical conditions.,3782,neutral or dissatisfied,3
74,10,The turbulence during the flight was unexpected and made the journey uncomfortable.,3825,neutral or dissatisfied,4
75,50,The flight experienced multiple delays throughout the journey.,3829,neutral or dissatisfied,3
76,18,"The flight was delayed, and the airline did not offer any explanation.",3861,neutral or dissatisfied,3
77,23,"The lack of proper coordination between the airline and the ground staff resulted in a significant delay in our departure, causing frustration and dissatisfaction among passengers.",3862,neutral or dissatisfied,4
78,1,The repeated delays in flight departure made me question the airline's reliability.,3867,neutral or dissatisfied,4
79,15,I noticed unclean or dusty seatbelt buckles.,3949,neutral or dissatisfied,4
80,-1,Difficulties in reaching customer service.,4024,neutral or dissatisfied,3
81,-1,The airline did not prioritize customer satisfaction during delays.,4060,neutral or dissatisfied,3
82,17,I received my bag with broken locks or security seals.,4073,neutral or dissatisfied,3
83,51,"Flight attendants were unresponsive to passenger requests, disregarding their needs and concerns.",4211,neutral or dissatisfied,3
84,-1,"The delayed arrival meant that I had to incur additional expenses for accommodation and transportation at my destination, as I arrived much later than anticipated.",4242,neutral or dissatisfied,4
85,-1,The delay in arrival caused me to miss a crucial business meeting. Unacceptable.,4320,neutral or dissatisfied,3
86,30,The customer service representative was uncooperative and unwilling to find a solution.,4472,neutral or dissatisfied,3
87,10,"The heavy fog during the flight resulted in low visibility, and it was concerning for passengers.",4537,neutral or dissatisfied,3
88,8,My flight arrived significantly later than scheduled.,4546,neutral or dissatisfied,3
89,25,"There was limited overhead storage space, making it difficult to find room for my belongings.",4572,neutral or dissatisfied,3
90,0,The food options on my flight were unsatisfactory and lacked variety.,4593,neutral or dissatisfied,4
91,4,The absence of reclining seats on the flight made it impossible to find a comfortable position.,4633,neutral or dissatisfied,4
92,43,The delayed flight arrival disrupted my plans and caused unnecessary inconvenience.,4777,neutral or dissatisfied,3
93,8,The extended delay disrupted my travel plans.,4788,neutral or dissatisfied,3
94,64,I had to wait at the airport for hours due to the flight delay. Annoying and exhausting.,4858,neutral or dissatisfied,3
